,Total Return,Std Dev,Min Value
Equal Weight,0.40357695572901875,0.013326537434580125,0.9217717040326736
Risk Parity,0.35350044636554023,0.010956285314080355,0.9349244579298105
Equal Weight PCA,0.2758108759311417,0.01931870565729698,0.9794020592624114
Diversified Risk Parity,0.009111650498431711,0.00909369089434593,0.8821233182105648
