Date,^GSPC,GLD,USO,GLD-USO
2020-12-30,-0.013216605979391595,-0.012771690908098179,-0.030949950696585835,-0.020480697611972687
2020-12-31,-0.01230720944454301,-0.013310483349558193,-0.02834471484007776,-0.01944389526914999
2021-01-04,-0.012667531451212669,-0.012669390826660373,-0.02643108611422749,-0.01784848606579724
2021-01-05,-0.021100594935822465,-0.020692461080534897,-0.0347197161355092,-0.01640839512014601
2021-01-06,-0.019001338797395424,-0.018630073754032986,-0.06385209960071353,-0.03229618958945011
2021-01-07,-0.017130052934160905,-0.02140999515202356,-0.04956685651648452,-0.027655241598465753
2021-01-08,-0.020177784654333127,-0.019306621726192616,-0.042545960843696266,-0.023925744768588077
2021-01-11,-0.017937343643152748,-0.033282686131023045,-0.04572427508375894,-0.021739316160092854
2021-01-12,-0.017754204304193028,-0.029266631420232735,-0.039168652375220034,-0.01993658512159557
2021-01-13,-0.015824381840722497,-0.026388102176905317,-0.03862870117731838,-0.022011790266873183
2021-01-14,-0.014366594683850679,-0.023846957454625037,-0.033846657193834465,-0.02014495712357582
2021-01-15,-0.014000179800936964,-0.021429153623302822,-0.03231178026466689,-0.01898787462725881
2021-01-19,-0.015029934447764908,-0.021763938646266984,-0.042888224585641226,-0.028151464615018447
2021-01-20,-0.015012607190557192,-0.0206463462637615,-0.03802707480221296,-0.0259460714550542
2021-01-21,-0.01796744989408572,-0.02239522036538379,-0.03303187593430977,-0.023903457876541013
2021-01-22,-0.01585655951914957,-0.0202160434828294,-0.029764763062702572,-0.02106739572977194
2021-01-25,-0.014866760651053417,-0.019407729465310993,-0.033788495866450975,-0.02333028810024712
2021-01-26,-0.013623298307268354,-0.017634107016798066,-0.031581152708677784,-0.0211530150573292
2021-01-27,-0.012893189875578357,-0.016251316163399233,-0.029429425353865824,-0.01953543289967374
2021-01-28,-0.029641089767577726,-0.01582020938524516,-0.027145312382850697,-0.018203560755915626
2021-01-29,-0.026226239105301134,-0.01458014999561259,-0.02784632923531541,-0.017464198361655005
2021-02-01,-0.030083159082260134,-0.013544363997861027,-0.026477424125583276,-0.01651884567289771
2021-02-02,-0.02896608806142806,-0.014624946314580492,-0.03850062673492203,-0.02444579505996943
2021-02-03,-0.027287234016862484,-0.016902206875446253,-0.03873754042352374,-0.021357899845220966
2021-02-04,-0.02356999452605193,-0.015543434366454334,-0.03737647972938304,-0.02029803877666457
2021-02-05,-0.022607876379449547,-0.022544438650416932,-0.03353292645772054,-0.019980107208137695
2021-02-08,-0.020454830504520207,-0.021594576905799204,-0.03116473592868598,-0.020405660011357456
2021-02-09,-0.019313671000614874,-0.020904449010891644,-0.03432722197424453,-0.023227557382758522
2021-02-10,-0.017666634113780503,-0.01900474606763601,-0.029958956180460645,-0.02052223517842433
2021-02-11,-0.016166611092852622,-0.01758236944327504,-0.02698423830104001,-0.018358084562677325
2021-02-12,-0.014796907445553616,-0.017433128698218666,-0.02732116165217286,-0.018917099757721295
2021-02-16,-0.013961128743762565,-0.016248406606637383,-0.03380417699777709,-0.018422211563026352
2021-02-17,-0.0130306262724384,-0.018364644628450194,-0.03162108382624731,-0.01641643972681742
2021-02-18,-0.012117233845412252,-0.018738135922290428,-0.029240308903351622,-0.015025368995324126
2021-02-19,-0.012217501347894148,-0.01716087652470972,-0.03184107804093316,-0.015194179141057166
2021-02-22,-0.011809837623504222,-0.016199161492777364,-0.03343705456714189,-0.014866689193561294
2021-02-23,-0.013489990621747008,-0.018300428660918577,-0.04667385966447285,-0.023306113927128447
2021-02-24,-0.012592948048602904,-0.017067619578146544,-0.04045533165962032,-0.02091673271743885
2021-02-25,-0.014225926546164778,-0.015887759229922197,-0.03961204010698739,-0.020148484303864195
2021-02-26,-0.027218342901156652,-0.02046171817158962,-0.035607375646331096,-0.02062622868968846
2021-03-01,-0.024198592531459256,-0.027295650939881986,-0.042592511487545844,-0.02814682522158807
2021-03-02,-0.02929293359547945,-0.025661588774939934,-0.042218786119718583,-0.026770715194864098
2021-03-03,-0.026578742837000242,-0.022915608144756346,-0.04045779492455738,-0.02495995073569477
2021-03-04,-0.026179699548344218,-0.02400011042873977,-0.04211962109750048,-0.023685603288737186
2021-03-05,-0.026300412530568838,-0.023006984185452776,-0.046974957377269984,-0.022874973566465926
2021-03-08,-0.027582078200622952,-0.019801331836902476,-0.04954314808748722,-0.024422520678773034
2021-03-09,-0.025320480956314572,-0.01948823074196157,-0.04931778735639061,-0.02557280643287988
2021-03-10,-0.02362522981864308,-0.024636206825320354,-0.045388157432396874,-0.023874081016128142
2021-03-11,-0.020132658661291727,-0.02258427746205369,-0.04201033231568615,-0.022555213529272162
2021-03-12,-0.019260530066931656,-0.019537642034902984,-0.04001195975471387,-0.0216975027033988
2021-03-15,-0.01700291902638419,-0.017617876697098373,-0.034490481991720695,-0.020073385674462773
2021-03-16,-0.01638094297648125,-0.01677262426138879,-0.032336121087954785,-0.01887850699504986
2021-03-17,-0.014395444734171219,-0.014888053405578035,-0.0287318687273005,-0.017863010680225035
2021-03-18,-0.013070138572418758,-0.014987883062934497,-0.03014660869957821,-0.017321260899087587
2021-03-19,-0.020037512996056907,-0.014789278240026951,-0.06610640861166754,-0.032703700087207827
2021-03-22,-0.015832280359236138,-0.014802490656006839,-0.06337815240718651,-0.032104823904186466
2021-03-23,-0.015208129089591712,-0.013914835520273209,-0.05772388635196894,-0.029909776420091037
2021-03-24,-0.015385738980032034,-0.014274581313326271,-0.06852368576709457,-0.03648003835786918
2021-03-25,-0.016239441977580867,-0.013703354193680753,-0.07142182734150002,-0.03798869284727279
2021-03-26,-0.014571687588178913,-0.013094493462806136,-0.0712637101966992,-0.03722095379578817
2021-03-29,-0.019038164649186236,-0.012521196643763508,-0.0697786775373612,-0.03670234651216701
2021-03-30,-0.0166289001244963,-0.014948939342673037,-0.06406374457307107,-0.03402899181849939
2021-03-31,-0.015112131693958109,-0.020215547239139816,-0.060330960960219726,-0.03372364172736485
2021-04-01,-0.013922839850438613,-0.022093334674115905,-0.05653025543587186,-0.0314971042561223
2021-04-05,-0.014942803722811706,-0.022630770084855846,-0.05567207701621842,-0.03288712270538437
2021-04-06,-0.0168791098631544,-0.020350512468185845,-0.05927646794171762,-0.03355754981269911
2021-04-07,-0.015465524296522698,-0.019598371809024014,-0.053589357908002726,-0.030312101969249595
2021-04-08,-0.014335510514323743,-0.017987089703742073,-0.04818134158472027,-0.02705100633732451
2021-04-09,-0.01334023236787949,-0.02013684077053252,-0.042564020751399485,-0.02380503015403895
2021-04-12,-0.01339687232001615,-0.01968417559086314,-0.03712565431995531,-0.022287954591064998
2021-04-13,-0.01319797046785254,-0.018778707478956283,-0.03151810476143757,-0.019313197058510177
2021-04-14,-0.01217366824462796,-0.018353048307172284,-0.028140324353092924,-0.019108385890465596
2021-04-15,-0.01229197581705974,-0.016773980530325215,-0.03968101835942843,-0.02255314438275479
2021-04-16,-0.014450392723842142,-0.02051035880432821,-0.035741836497854715,-0.02159857093011345
2021-04-19,-0.013234136844782422,-0.01923895007627164,-0.03501325611012988,-0.022426131811515353
2021-04-20,-0.012862569528547182,-0.017671511260397284,-0.034175494811805325,-0.021359802816227767
