Date,^GSPC,GLD,USO,GLD-USO
2020-12-30,-0.012572465895869437,-0.013806733079862884,-0.029413939546414466,-0.020185162895686535
2020-12-31,-0.011793196074159915,-0.014004256477362975,-0.027774735449406018,-0.0198345564886688
2021-01-04,-0.012150835854696564,-0.013564860280165021,-0.026132785838914624,-0.019096579304853416
2021-01-05,-0.01913727056520755,-0.018611993109366017,-0.029026751496617174,-0.01827315918128118
2021-01-06,-0.017819745154108186,-0.017327636520926445,-0.04612869986689343,-0.023566779256890467
2021-01-07,-0.0164453157453127,-0.01941368984202249,-0.04158917233930794,-0.022416246163763687
2021-01-08,-0.01908801739051098,-0.018278403525385328,-0.03903169794404819,-0.021195912245120855
2021-01-11,-0.017558843515074873,-0.028543657658606458,-0.040753904599770845,-0.020324287552795146
2021-01-12,-0.017032343046124464,-0.02612251977899505,-0.03769652589602145,-0.01957724708236168
2021-01-13,-0.015185551608126126,-0.024512141195358557,-0.03716619643008513,-0.020128010277948673
2021-01-14,-0.013726184858436605,-0.02318568441613989,-0.03452585752208916,-0.019418199796611982
2021-01-15,-0.013351897108158352,-0.021796051232407944,-0.033162957269549924,-0.0188734076432445
2021-01-19,-0.014252300139569367,-0.021874216758386748,-0.03692766886404762,-0.021618433850374805
2021-01-20,-0.014455472197965521,-0.021137009571340005,-0.035092657906871855,-0.021387597559845973
2021-01-21,-0.017235484405555612,-0.022033169074377867,-0.032570186908869085,-0.020970616294342707
2021-01-22,-0.0156539043647259,-0.020739973991850062,-0.03038250949966991,-0.020045949331173585
2021-01-25,-0.014809298823642974,-0.020197625604360163,-0.031099639793787298,-0.02053611232695051
2021-01-26,-0.013770631610852582,-0.019193532238195005,-0.02991863241274531,-0.019870119771748074
2021-01-27,-0.012920695305801262,-0.018323245038555827,-0.028345407341709754,-0.01919511990821632
2021-01-28,-0.028044730844136924,-0.017926603432135226,-0.026695094037659718,-0.018549251601761182
2021-01-29,-0.02534843934955893,-0.017094107311074455,-0.02604041601187079,-0.018036791381642853
2021-02-01,-0.028866161795159637,-0.016378973090219455,-0.024707101839319887,-0.017476183267136486
2021-02-02,-0.028210074278649102,-0.01681542938171295,-0.03001917696893313,-0.019891502422803308
2021-02-03,-0.0269575389828012,-0.017766269330460837,-0.031112407134259955,-0.019150295336568732
2021-02-04,-0.023937418845029215,-0.016928648749154732,-0.03112284448960603,-0.018929786153968058
2021-02-05,-0.02275683203687611,-0.02104850195223451,-0.029711051077887185,-0.018748539764752863
2021-02-08,-0.02082779791652285,-0.020661541264132225,-0.02862697923106547,-0.01898027254254965
2021-02-09,-0.019372152059302598,-0.02036598869358091,-0.029735856315643718,-0.019569478056760646
2021-02-10,-0.01738346594331911,-0.01941811007969455,-0.0281618305626002,-0.019028207611719573
2021-02-11,-0.01642647717148302,-0.018623592808118154,-0.02671193681483821,-0.018507833938806558
2021-02-12,-0.014939928462808533,-0.018564360313312902,-0.02635258717011084,-0.0186561796027904
2021-02-16,-0.013913736676302758,-0.017947960239836202,-0.029107245168250945,-0.018844230722927093
2021-02-17,-0.01332319348701476,-0.01899918826624086,-0.028455968886325286,-0.018386329520695348
2021-02-18,-0.012782247540136578,-0.019226101620539195,-0.027637932291368142,-0.01785747383153336
2021-02-19,-0.012810693513375673,-0.018485869569369602,-0.028605508660565764,-0.017951071392711085
2021-02-22,-0.012423518120157356,-0.017978874777952736,-0.02917500883255545,-0.01783310618028056
2021-02-23,-0.013204110106297861,-0.018761454017698905,-0.034718142131195055,-0.02110430365142373
2021-02-24,-0.012675653775015153,-0.01821094549019653,-0.032497009261178766,-0.02042049895429716
2021-02-25,-0.0136878168593116,-0.017726824375280285,-0.03253185215341483,-0.02005002602637495
2021-02-26,-0.02113638433263136,-0.01941979282078627,-0.030878815085598782,-0.019991701013565177
2021-03-01,-0.020127390326319456,-0.022201638592965364,-0.03355573020830048,-0.022494180154801608
2021-03-02,-0.02322218963590841,-0.02151058318804652,-0.033615907960748016,-0.022079262372753726
2021-03-03,-0.021528968599936582,-0.02059443292546473,-0.033082104118243805,-0.021443943617996303
2021-03-04,-0.021138776809008622,-0.02057764880995437,-0.034158629782345275,-0.021040302716813137
2021-03-05,-0.021407948844600067,-0.020244946507213805,-0.040363705242001426,-0.021461969367392534
2021-03-08,-0.02250169985486881,-0.01965505695641096,-0.044314979900761026,-0.02244846784197182
2021-03-09,-0.021241977191880916,-0.019613167697293335,-0.04392011524413321,-0.022874001555194194
2021-03-10,-0.021070047580583177,-0.020508799985994433,-0.040847775305906,-0.021891526674580795
2021-03-11,-0.01953142631035606,-0.019240426724393838,-0.03755529249810671,-0.021374519605118665
2021-03-12,-0.018951257831969017,-0.01871357004156745,-0.03660544316369936,-0.020841956507533402
2021-03-15,-0.017676201157703568,-0.018441857713512883,-0.03484903056801992,-0.020488153459507337
2021-03-16,-0.01691119663199863,-0.01825054155479561,-0.03312484289508956,-0.019995985415182944
2021-03-17,-0.01608975251434096,-0.01804656858265788,-0.029749389577509066,-0.01871046967292253
2021-03-18,-0.015332921537638497,-0.017971493294279068,-0.027845109829364553,-0.018355355834502086
2021-03-19,-0.017132142170189688,-0.01788478106277464,-0.05583556650542116,-0.024873150546876208
2021-03-22,-0.016328309898031548,-0.01773097871498722,-0.05415367264368606,-0.025159562118023195
2021-03-23,-0.01572653846048792,-0.017606704751299277,-0.04964566294535228,-0.023858161990527572
2021-03-24,-0.015808427929837707,-0.017640045903770815,-0.05861562504082576,-0.027120327909105783
2021-03-25,-0.015685812000277938,-0.017454073805149233,-0.06311598920210748,-0.029365225586177022
