From,Neihu,Yuanshan,Taipei,Sanzhong,Wugu,Freeway Bureau,Linkou North,Linkou South
Neihu,-,3.19,11.93,13.98,15.11,21.35,22.24,30.01
Yuanshan,7.39,-,8.26,10.18,11.91,18.08,19.12,25.02
Taipei,9.52,1.85,-,1.33,3.3,8.04,9.97,13.83
Sanzhong,12.69,4.93,3.13,-,2.21,8.02,9.24,14.12
Wugu,17.31,9.87,7.46,4.11,-,5.1,6.82,11.63
Freeway Bureau,169.33,-,177.62,-,-,-,3.01,8.38
Linkou North,25.8,18.61,16.25,12.97,8.3,-,-,8.62
Linkou South,45.43,31.94,26.9,22.29,12.64,-,6.07,-
