From,Neihu,Yuanshan,Taipei,Sanzhong,Wugu,Freeway Bureau,Linkou North,Linkou South
Neihu,-,131.65217391304347,193.6929347826087,73.50815217391305,99.10597826086956,0.6440217391304348,59.43478260869565,0.016304347826086956
Yuanshan,132.0163043478261,-,310.5951086956522,141.72554347826087,147.1358695652174,2.198369565217391,84.53532608695652,0.021739130434782608
Taipei,129.4211956521739,287.61141304347825,-,359.5298913043478,419.4021739130435,6.899456521739131,532.3342391304348,0.12771739130434784
Sanzhong,65.8288043478261,170.74728260869566,531.4103260869565,-,256.01630434782606,2.516304347826087,218.26358695652175,0.051630434782608696
Wugu,57.79891304347826,122.84782608695652,467.1358695652174,190.25271739130434,-,2.2989130434782608,160.95652173913044,0.05434782608695652
Freeway Bureau,0.005434782608695652,-,0.002717391304347826,-,-,-,899.1494565217391,0.27717391304347827
Linkou North,37.84510869565217,86.9320652173913,556.0760869565217,223.9836956521739,151.0788043478261,-,-,0.20923913043478262
Linkou South,0.008152173913043478,0.03804347826086957,0.14945652173913043,0.08152173913043478,0.07065217391304347,-,0.23369565217391305,-
